id,event_type,tags,type,wrong,right,n_err
033,control,control,other_sub,向,將,1
033,control,control,other_sub,t,p,1
033,control,control,other_sub,制,自,1
033,control,control,homophone,再,在,1
033,control,control,homophone,連,聯,1
033,control,control,other_sub,制,自,1
033,control,control,other_sub,後,之,1
033,control,control,homophone,在,再,1
033,control,control,other_sub,在,執,1
033,control,control,homophone,連,聯,1
033,control,control,other_sub,返,已,1
033,control,control,deletion,,轉,1
033,control,control,insertion,到,,1
033,control,control,other_sub,等,感,1
033,control,control,other_sub,呼,回,1
033,control,control,other_sub,叫,報,1
033,control,control,insertion,1,,1
033,control,control,other_sub,制,自,1
033,control,control,other_sub,速,數,1
033,control,control,other_sub,跟,月,1
033,control,control,deletion,,更,1
033,control,control,other_sub,跟,更,1
033,control,control,insertion,那,,1
033,control,control,deletion,,將,1
033,control,control,other_sub,b,p,1
033,control,control,homophone,連,聯,1
033,control,control,other_sub,那,確,1
033,control,control,other_sub,請,認,1
033,control,control,near_homophone,盥,關,1
033,control,control,insertion,o,,1
033,control,control,other_sub,v,後,1
033,control,control,other_sub,e,回,1
033,control,control,other_sub,r,報,1
043,daily,daily,other_sub,座,舊,1
043,daily,daily,other_sub,車,社,1
043,daily,daily,insertion,3,,1
043,daily,daily,number,站,9,1
043,daily,daily,number,那,3,1
043,daily,daily,number,你,0,1
043,daily,daily,other_sub,請,勤,1
043,daily,daily,deletion,,務,1
043,daily,daily,deletion,,9,1
043,daily,daily,number,中,0,1
043,daily,daily,deletion,,o,1
043,daily,daily,number,理,0,1
043,daily,daily,deletion,,0,1
043,daily,daily,other_sub,長,確,1
044,control,control,deletion,,0,1
044,control,control,other_sub,c,o,1
044,control,control,number,1,c,1
044,control,control,deletion,,0,1
044,control,control,other_sub,府,竹,1
044,control,control,insertion,的,,1
044,control,control,other_sub,水,隨,1
044,control,control,other_sub,臺,請,1
044,control,control,other_sub,勤,行,1
044,control,control,other_sub,客,控,1
044,control,control,deletion,,0,1
044,control,control,other_sub,在,位,1
044,control,control,deletion,,於,1
044,control,control,deletion,,0,1
044,control,control,other_sub,速,竹,1
044,control,control,other_sub,勤,行,1
044,control,control,insertion,的,,1
044,control,control,other_sub,水,隨,1
044,control,control,other_sub,請,行,1
044,control,control,number,後,9,1
044,control,control,number,車,3,1
044,control,control,deletion,,0,1
044,control,control,other_sub,o,北,1
044,control,control,deletion,,屯,1
044,control,control,other_sub,省,水,1
044,control,control,other_sub,屯,安,1
044,control,control,other_sub,呼,回,1
044,control,control,other_sub,叫,報,1
044,control,control,near_homophone,予,於,1
044,control,control,other_sub,通,崇,1
044,control,control,other_sub,等,德,1
044,control,control,number,車,4,1
044,control,control,other_sub,o,c,1
044,control,control,deletion,,c,1
044,control,control,deletion,,長,1
044,control,control,other_sub,c,問,1
044,control,control,near_homophone,回,會,1
044,control,control,other_sub,登,的,1
044,control,control,deletion,,0,1
044,control,control,deletion,,0,1
044,control,control,other_sub,待,載,1
044,control,control,insertion,o,,1
044,control,control,other_sub,站,的,1
044,control,control,deletion,,開,1
044,control,control,other_sub,車,載,1
044,control,control,other_sub,叫,客,1
048,daily,daily,other_sub,站,上,1
048,daily,daily,other_sub,停,行,1
048,daily,daily,number,分,3,1
048,daily,daily,insertion,式,,1
048,daily,daily,number,車,4,1
048,daily,daily,other_sub,等,人,1
048,daily,daily,other_sub,請,勤,1
048,daily,daily,deletion,,務,1
048,daily,daily,other_sub,後,待,1
048,daily,daily,deletion,,將,1
048,daily,daily,number,1,0,1
048,daily,daily,deletion,,a,1
048,daily,daily,deletion,,反,1
051,daily,daily,deletion,,1,1
051,daily,daily,deletion,,o,1
G0001,emergency,emergency,insertion,0,,1
G0001,emergency,emergency,number,5,9,1
G0001,emergency,emergency,number,0,市,1
G0001,emergency,emergency,deletion,,o,1
G0001,emergency,emergency,deletion,,2,1
G0001,emergency,emergency,other_sub,y,外,1
G0001,emergency,emergency,insertion,已,,1
G0001,emergency,emergency,other_sub,完,發,1
G0001,emergency,emergency,other_sub,清,前,1
G0001,emergency,emergency,other_sub,完,往,1
G0001,emergency,emergency,homophone,示,視,1
G0001,emergency,emergency,deletion,,行,1
G0001,emergency,emergency,other_sub,尾,軌,1
G0001,emergency,emergency,other_sub,盤,旁,1
G0001,emergency,emergency,other_sub,修,胸,1
G0001,emergency,emergency,other_sub,葺,牆,1
G0001,emergency,emergency,other_sub,面,纜,1
G0001,emergency,emergency,other_sub,式,請,1
G0001,emergency,emergency,other_sub,行,即,1
G0001,emergency,emergency,insertion,已,,1
G0001,emergency,emergency,other_sub,成,生,1
G0001,emergency,emergency,other_sub,清,前,1
G0001,emergency,emergency,other_sub,完,往,1
G0001,emergency,emergency,homophone,示,視,1
G0001,emergency,emergency,other_sub,尾,軌,1
G0001,emergency,emergency,other_sub,盤,旁,1
G0001,emergency,emergency,other_sub,收,胸,1
G0001,emergency,emergency,other_sub,葺,牆,1
G0001,emergency,emergency,other_sub,上,下,1
G0001,emergency,emergency,other_sub,暖,纜,1
G0001,emergency,emergency,other_sub,式,請,1
G0001,emergency,emergency,other_sub,式,即,1
G0011,door,door,number,2,0,1
G0011,door,door,number,6,0,1
G0011,door,door,insertion,車,,1
G0011,door,door,other_sub,滯,復,1
G0011,door,door,near_homophone,櫃,歸,1
G0029,track,track,insertion,完,,1
G0029,track,track,number,上,三,1
G0029,track,track,deletion,,成,1
G0029,track,track,deletion,,站,1
G0029,track,track,number,上,三,1
G0029,track,track,insertion,軌,,1
G0029,track,track,deletion,,告,1
G0029,track,track,near_homophone,秕,畢,1
G0033,daily,daily,number,5,1,1
G0033,daily,daily,deletion,,7,1
G0033,daily,daily,deletion,,o,1
G0033,daily,daily,other_sub,短,轉,1
G0033,daily,daily,other_sub,車,轍,1
G0033,daily,daily,number,三,0,1
G0033,daily,daily,number,位,3,1
G0033,daily,daily,deletion,,為,1
G0033,daily,daily,number,軌,0,1
G0033,daily,daily,number,三,3,1
G0033,daily,daily,homophone,位,為,1
G0033,daily,daily,other_sub,執,請,1
G0033,daily,daily,other_sub,行,繼,1
G0033,daily,daily,deletion,,續,1
G0033,daily,daily,other_sub,線,進,1
G0034,control,control,insertion,呼,,1
G0034,control,control,number,9,組,1
G0034,control,control,deletion,,1,1
G0034,control,control,number,8,1,1
G0034,control,control,other_sub,進,執,1
G0042,control,control,insertion,0,,1
G0042,control,control,deletion,,7,1
G0042,control,control,other_sub,維,鐵,1
G0042,control,control,deletion,,已,1
G0042,control,control,deletion,,1,1
G0042,control,control,other_sub,式,長,1
G0042,control,control,deletion,,正,1
G0042,control,control,deletion,,登,1
G0042,control,control,deletion,,以,1
G0042,control,control,deletion,,換,1
G0042,control,control,deletion,,f,1
G0042,control,control,deletion,,換,1
G0042,control,control,deletion,,f,1
G0042,control,control,deletion,,f,1
G0042,control,control,other_sub,人,o,1
G0042,control,control,other_sub,確,權,1
G0042,control,control,deletion,,f,1
G0042,control,control,other_sub,置,貼,1
G0042,control,control,deletion,,近,1
G0042,control,control,other_sub,通,標,1
G0042,control,control,deletion,,1,1
G0042,control,control,other_sub,近,慶,1
G0042,control,control,deletion,,2,1
G0042,control,control,other_sub,g,號,1
G0042,control,control,number,7,誌,1
G0042,control,control,other_sub,通,機,1
G0042,control,control,other_sub,報,軌,1
G0042,control,control,other_sub,貫,道,1
G0042,control,control,other_sub,至,狀,1
G0042,control,control,other_sub,行,況,1
G0042,control,control,other_sub,請,停,1
G0042,control,control,deletion,,後,1
G0042,control,control,other_sub,e,以,1
G0042,control,control,deletion,,r,1
G0042,control,control,other_sub,m,模,1
G0042,control,control,other_sub,確,式,1
G0042,control,control,deletion,,地,1
G0042,control,control,deletion,,1,1
G0042,control,control,other_sub,回,途,1
G0042,control,control,other_sub,報,注,1
G0042,control,control,deletion,,停,1
G0042,control,control,deletion,,啟,1
G0042,control,control,deletion,,門,1
G0042,control,control,number,東,0,1
G0042,control,control,other_sub,您,你,1
G0042,control,control,deletion,,已,1
G0042,control,control,other_sub,至,換,1
G0042,control,control,deletion,,已,1
G0042,control,control,deletion,,換,1
G0042,control,control,deletion,,f,1
G0042,control,control,deletion,,權,1
G0042,control,control,number,東,0,1
G0042,control,control,other_sub,m,以,1
G0042,control,control,deletion,,r,1
G0042,control,control,deletion,,f,1
G0042,control,control,other_sub,切,貼,1
G0042,control,control,other_sub,通,近,1
G0042,control,control,deletion,,標,1
G0042,control,control,other_sub,月,烏,1
G0042,control,control,other_sub,g,注,1
G0042,control,control,other_sub,g,意,1
G0042,control,control,other_sub,g,號,1
G0042,control,control,other_sub,通,誌,1
G0042,control,control,other_sub,報,機,1
G0042,control,control,other_sub,貫,軌,1
G0042,control,control,other_sub,示,道,1
G0042,control,control,other_sub,行,狀,1
G0042,control,control,deletion,,報,1
G0042,control,control,other_sub,請,停,1
G0042,control,control,deletion,,以,1
G0042,control,control,deletion,,回,1
G0042,control,control,deletion,,地,1
G0042,control,control,other_sub,車,轉,1
G0042,control,control,other_sub,行,轍,1
G0042,control,control,deletion,,停,1
G0052,daily,daily,deletion,,1,1
G0052,daily,daily,other_sub,元,水,1
G0052,daily,daily,deletion,,安,1
G0052,daily,daily,deletion,,長,1
G0052,daily,daily,number,7,叫,1
G0052,daily,daily,other_sub,c,o,1
G0052,daily,daily,other_sub,速,c,1
G0052,daily,daily,deletion,,1,1
G0052,daily,daily,number,長,2,1
G0063,control,control,deletion,,0,1
G0063,control,control,number,3,森,1
G0063,control,control,number,0,林,1
G0063,control,control,insertion,1,,1
G0063,control,control,number,0,2,1
G0063,control,control,number,高,1,1
G0063,control,control,number,人,2,1
G0063,control,control,number,長,2,1
G0063,control,control,insertion,m,,1
G0063,control,control,other_sub,待,到,1
G0063,control,control,homophone,置,至,1
G0063,control,control,other_sub,成,至,1
G0063,control,control,deletion,,m,1
G0066,door,door,other_sub,正,機,1
G0066,door,door,other_sub,車,械,1
G0066,door,door,other_sub,通,重,1
G0066,door,door,near_homophone,知,置,1
G0066,door,door,deletion,,已,1
G0066,door,door,other_sub,回,歸,1
G0066,door,door,number,0,2,1
G0066,door,door,number,6,2,1
G0066,door,door,other_sub,面,門,1
G0066,door,door,homophone,覆,復,1
G0066,door,door,near_homophone,櫃,歸,1
G0066,door,door,other_sub,閉,有,1
G0066,door,door,deletion,,異,1
G0066,door,door,other_sub,閉,異,1
G0068,door,door,number,6,1,1
G0068,door,door,number,我,2,1
G0068,door,door,deletion,,2,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,number,5,2,1
G0068,door,door,deletion,,1,1
G0068,door,door,number,6,2,1
G0068,door,door,insertion,7,,1
G0068,door,door,number,9,九,1
G0068,door,door,near_homophone,的,德,1
G0068,door,door,number,5,0,1
G0068,door,door,deletion,,0,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,deletion,,0,1
G0068,door,door,number,6,0,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,other_sub,收,謝,1
G0068,door,door,deletion,,謝,1
G0068,door,door,number,站,3,1
G0068,door,door,deletion,,慶,1
G0068,door,door,deletion,,月,1
G0068,door,door,number,通,0,1
G0068,door,door,number,8,1,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,deletion,,0,1
G0068,door,door,homophone,封,豐,1
G0068,door,door,other_sub,到,樂,1
G0068,door,door,deletion,,皆,1
G0068,door,door,deletion,,7,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,deletion,,0,1
G0068,door,door,deletion,,1,1
G0068,door,door,homophone,接,皆,1
G0068,door,door,deletion,,5,1
G0068,door,door,deletion,,6,1
G0068,door,door,other_sub,到,回,1
G0068,door,door,deletion,,報,1
G0069,track,track,near_homophone,清,慶,1
G0069,track,track,near_homophone,的,德,1
G0069,track,track,other_sub,可,軌,1
G0069,track,track,other_sub,意,業,1
G0069,track,track,near_homophone,降,將,1
G0069,track,track,near_homophone,清,慶,1
G0069,track,track,insertion,的,,1
G0069,track,track,other_sub,可,軌,1
G0069,track,track,other_sub,意,業,1
G0069,track,track,deletion,,畢,1
