id,event_type,tags,audio_file,gt_file,duration_sec,gt_char_count,gt_speaker_lines,audio_size_kb,audio_format,has_gt,notes
015,daily,daily,experiments/golden_dataset/audio/015_daily_UltraLog060_20260321_160823.wav,experiments/golden_dataset/ground_truth/015_daily_UltraLog060_20260321_160823.txt,14.58,38,1,57.8,wav,Y,
016,daily,daily,experiments/golden_dataset/audio/016_daily_UltraLog060_20260321_160844.wav,experiments/golden_dataset/ground_truth/016_daily_UltraLog060_20260321_160844.txt,14.39,38,1,57.1,wav,Y,
017,daily,daily,experiments/golden_dataset/audio/017_daily_UltraLog060_20260321_160946.wav,experiments/golden_dataset/ground_truth/017_daily_UltraLog060_20260321_160946.txt,22.91,74,2,90.8,wav,Y,
018,daily,daily,experiments/golden_dataset/audio/018_daily_UltraLog060_20260321_161315.wav,experiments/golden_dataset/ground_truth/018_daily_UltraLog060_20260321_161315.txt,24.37,84,3,96.6,wav,Y,
019,daily,daily,experiments/golden_dataset/audio/019_daily_UltraLog060_20260321_161355.wav,experiments/golden_dataset/ground_truth/019_daily_UltraLog060_20260321_161355.txt,27.77,70,4,110.1,wav,Y,
020,daily,daily,experiments/golden_dataset/audio/020_daily_UltraLog060_20260321_161434.wav,experiments/golden_dataset/ground_truth/020_daily_UltraLog060_20260321_161434.txt,12.56,16,1,49.8,wav,Y,
021,control,control,experiments/golden_dataset/audio/021_control_UltraLog060_20260321_161519.wav,experiments/golden_dataset/ground_truth/021_control_UltraLog060_20260321_161519.txt,41.22,130,6,163.3,wav,Y,
022,control,control,experiments/golden_dataset/audio/022_control_UltraLog060_20260321_161624.wav,experiments/golden_dataset/ground_truth/022_control_UltraLog060_20260321_161624.txt,65.27,222,6,258.6,wav,Y,
023,control,control,experiments/golden_dataset/audio/023_control_UltraLog060_20260321_161737.wav,experiments/golden_dataset/ground_truth/023_control_UltraLog060_20260321_161737.txt,49.87,125,5,197.6,wav,Y,
024,daily,daily,experiments/golden_dataset/audio/024_daily_UltraLog060_20260321_161845.wav,experiments/golden_dataset/ground_truth/024_daily_UltraLog060_20260321_161845.txt,17.61,40,2,69.8,wav,Y,
025,daily,daily,experiments/golden_dataset/audio/025_daily_UltraLog060_20260321_162057.wav,experiments/golden_dataset/ground_truth/025_daily_UltraLog060_20260321_162057.txt,16.41,32,2,65.1,wav,Y,
026,daily,daily,experiments/golden_dataset/audio/026_daily_UltraLog060_20260321_162335.wav,experiments/golden_dataset/ground_truth/026_daily_UltraLog060_20260321_162335.txt,17.42,42,2,69.1,wav,Y,
027,control,control,experiments/golden_dataset/audio/027_control_UltraLog060_20260321_162356.wav,experiments/golden_dataset/ground_truth/027_control_UltraLog060_20260321_162356.txt,45.32,98,2,179.6,wav,Y,
028,control,control,experiments/golden_dataset/audio/028_control_UltraLog060_20260321_162441.wav,experiments/golden_dataset/ground_truth/028_control_UltraLog060_20260321_162441.txt,31.31,65,4,124.1,wav,Y,
029,control,control,experiments/golden_dataset/audio/029_control_UltraLog060_20260321_162528.wav,experiments/golden_dataset/ground_truth/029_control_UltraLog060_20260321_162528.txt,137.11,473,19,543.1,wav,Y,
030,control,control,experiments/golden_dataset/audio/030_control_UltraLog060_20260321_162750.wav,experiments/golden_dataset/ground_truth/030_control_UltraLog060_20260321_162750.txt,97.72,245,12,387.1,wav,Y,
031,daily,daily,experiments/golden_dataset/audio/031_daily_UltraLog060_20260321_163005.wav,experiments/golden_dataset/ground_truth/031_daily_UltraLog060_20260321_163005.txt,17.86,34,2,70.8,wav,Y,
032,control,control,experiments/golden_dataset/audio/032_control_UltraLog060_20260321_163035.wav,experiments/golden_dataset/ground_truth/032_control_UltraLog060_20260321_163035.txt,47.79,158,6,189.3,wav,Y,
033,control,control,experiments/golden_dataset/audio/033_control_UltraLog060_20260321_163124.wav,experiments/golden_dataset/ground_truth/033_control_UltraLog060_20260321_163124.txt,172.77,580,29,684.3,wav,Y,
034,door,door,experiments/golden_dataset/audio/034_door_UltraLog060_20260321_163420.wav,experiments/golden_dataset/ground_truth/034_door_UltraLog060_20260321_163420.txt,77.33,186,11,306.3,wav,Y,
035,control,control,experiments/golden_dataset/audio/035_control_UltraLog060_20260321_163553.wav,experiments/golden_dataset/ground_truth/035_control_UltraLog060_20260321_163553.txt,77.08,265,11,305.3,wav,Y,
036,track,track,experiments/golden_dataset/audio/036_track_UltraLog060_20260321_163737.wav,experiments/golden_dataset/ground_truth/036_track_UltraLog060_20260321_163737.txt,18.87,43,2,74.8,wav,Y,
037,control,control,experiments/golden_dataset/audio/037_control_UltraLog060_20260321_163759.wav,experiments/golden_dataset/ground_truth/037_control_UltraLog060_20260321_163759.txt,112.17,396,16,444.3,wav,Y,
038,door,door,experiments/golden_dataset/audio/038_door_UltraLog060_20260321_164000.wav,experiments/golden_dataset/ground_truth/038_door_UltraLog060_20260321_164000.txt,83.96,282,13,332.6,wav,Y,
039,control,control,experiments/golden_dataset/audio/039_control_UltraLog060_20260321_164141.wav,experiments/golden_dataset/ground_truth/039_control_UltraLog060_20260321_164141.txt,40.21,123,6,159.3,wav,Y,
040,control,control,experiments/golden_dataset/audio/040_control_UltraLog060_20260321_164233.wav,experiments/golden_dataset/ground_truth/040_control_UltraLog060_20260321_164233.txt,67.86,219,8,268.8,wav,Y,
041,control,control,experiments/golden_dataset/audio/041_control_UltraLog060_20260321_164400.wav,experiments/golden_dataset/ground_truth/041_control_UltraLog060_20260321_164400.txt,24.3,67,3,96.3,wav,Y,
042,control,control,experiments/golden_dataset/audio/042_control_UltraLog060_20260321_164604.wav,experiments/golden_dataset/ground_truth/042_control_UltraLog060_20260321_164604.txt,90.39,300,12,358.1,wav,Y,
043,daily,daily,experiments/golden_dataset/audio/043_daily_UltraLog060_20260321_164736.wav,experiments/golden_dataset/ground_truth/043_daily_UltraLog060_20260321_164736.txt,24.56,68,3,97.3,wav,Y,
044,control,control,experiments/golden_dataset/audio/044_control_UltraLog060_20260321_164802.wav,experiments/golden_dataset/ground_truth/044_control_UltraLog060_20260321_164802.txt,68.87,210,9,272.8,wav,Y,
045,door,door,experiments/golden_dataset/audio/045_door_UltraLog060_20260321_164941.wav,experiments/golden_dataset/ground_truth/045_door_UltraLog060_20260321_164941.txt,138.81,508,25,549.8,wav,Y,
046,control,control,experiments/golden_dataset/audio/046_control_UltraLog060_20260321_165221.wav,experiments/golden_dataset/ground_truth/046_control_UltraLog060_20260321_165221.txt,15.91,34,2,63.1,wav,Y,
047,control,control,experiments/golden_dataset/audio/047_control_UltraLog060_20260321_165237.wav,experiments/golden_dataset/ground_truth/047_control_UltraLog060_20260321_165237.txt,128.96,477,19,510.8,wav,Y,
048,daily,daily,experiments/golden_dataset/audio/048_daily_UltraLog060_20260321_165453.wav,experiments/golden_dataset/ground_truth/048_daily_UltraLog060_20260321_165453.txt,18.05,50,1,71.6,wav,Y,
049,daily,daily,experiments/golden_dataset/audio/049_daily_UltraLog060_20260321_165541.wav,experiments/golden_dataset/ground_truth/049_daily_UltraLog060_20260321_165541.txt,52.96,127,5,209.8,wav,Y,
050,control,control,experiments/golden_dataset/audio/050_control_UltraLog060_20260321_165654.wav,experiments/golden_dataset/ground_truth/050_control_UltraLog060_20260321_165654.txt,77.39,238,9,306.6,wav,Y,
051,daily,daily,experiments/golden_dataset/audio/051_daily_UltraLog060_20260321_165823.wav,experiments/golden_dataset/ground_truth/051_daily_UltraLog060_20260321_165823.txt,18.18,36,2,72.1,wav,Y,
052,daily,daily,experiments/golden_dataset/audio/052_daily_UltraLog060_20260321_165913.wav,experiments/golden_dataset/ground_truth/052_daily_UltraLog060_20260321_165913.txt,43.87,161,7,173.8,wav,Y,
053,daily,daily,experiments/golden_dataset/audio/053_daily_UltraLog060_20260321_170130.wav,experiments/golden_dataset/ground_truth/053_daily_UltraLog060_20260321_170130.txt,29.54,95,3,117.1,wav,Y,
054,control,control,experiments/golden_dataset/audio/054_control_UltraLog060_20260321_170204.wav,experiments/golden_dataset/ground_truth/054_control_UltraLog060_20260321_170204.txt,59.97,219,7,237.6,wav,Y,
055,daily,daily,experiments/golden_dataset/audio/055_daily_UltraLog060_20260321_170456.wav,experiments/golden_dataset/ground_truth/055_daily_UltraLog060_20260321_170456.txt,20.64,50,2,81.8,wav,Y,
056,daily,daily,experiments/golden_dataset/audio/056_daily_UltraLog060_20260321_170524.wav,experiments/golden_dataset/ground_truth/056_daily_UltraLog060_20260321_170524.txt,23.8,72,4,94.3,wav,Y,
057,daily,daily,experiments/golden_dataset/audio/057_daily_UltraLog060_20260321_170550.wav,experiments/golden_dataset/ground_truth/057_daily_UltraLog060_20260321_170550.txt,26.39,89,4,104.6,wav,Y,
058,daily,daily,experiments/golden_dataset/audio/058_daily_UltraLog060_20260321_170719.wav,experiments/golden_dataset/ground_truth/058_daily_UltraLog060_20260321_170719.txt,15.72,28,2,62.3,wav,Y,
059,daily,daily,experiments/golden_dataset/audio/059_daily_UltraLog060_20260321_170738.wav,experiments/golden_dataset/ground_truth/059_daily_UltraLog060_20260321_170738.txt,45.77,186,7,181.3,wav,Y,
061,daily,daily,experiments/golden_dataset/audio/061_daily_UltraLog060_20260321_170957.wav,experiments/golden_dataset/ground_truth/061_daily_UltraLog060_20260321_170957.txt,23.23,63,2,92.1,wav,Y,
062,daily,daily,experiments/golden_dataset/audio/062_daily_UltraLog060_20260321_171023.wav,experiments/golden_dataset/ground_truth/062_daily_UltraLog060_20260321_171023.txt,28.53,65,3,113.1,wav,Y,
063,daily,daily,experiments/golden_dataset/audio/063_daily_UltraLog060_20260321_171101.wav,experiments/golden_dataset/ground_truth/063_daily_UltraLog060_20260321_171101.txt,42.1,65,3,166.8,wav,Y,
251209_水安宮旅客昏倒_185032_UltraLog063,emergency,emergency,experiments/golden_dataset/audio/251209_水安宮旅客昏倒_185032_UltraLog063.wav,experiments/golden_dataset/ground_truth/251209_水安宮旅客昏倒_185032_UltraLog063.txt,89.95,202,0,356.3,wav,Y,
251209_水安宮旅客昏倒_185322_UltraLog063,emergency,emergency,experiments/golden_dataset/audio/251209_水安宮旅客昏倒_185322_UltraLog063.wav,experiments/golden_dataset/ground_truth/251209_水安宮旅客昏倒_185322_UltraLog063.txt,57.76,136,0,228.8,wav,Y,
251209_水安宮旅客昏倒_185509_UltraLog063,emergency,emergency,experiments/golden_dataset/audio/251209_水安宮旅客昏倒_185509_UltraLog063.wav,experiments/golden_dataset/ground_truth/251209_水安宮旅客昏倒_185509_UltraLog063.txt,58.58,156,0,232.1,wav,Y,
251209_水安宮旅客昏倒_190252_UltraLog006,emergency,emergency,experiments/golden_dataset/audio/251209_水安宮旅客昏倒_190252_UltraLog006.wav,experiments/golden_dataset/ground_truth/251209_水安宮旅客昏倒_190252_UltraLog006.txt,84.72,232,0,134.4,wav,Y,
251209_水安宮旅客昏倒_191505_UltraLog025,emergency,emergency,experiments/golden_dataset/audio/251209_水安宮旅客昏倒_191505_UltraLog025.wav,experiments/golden_dataset/ground_truth/251209_水安宮旅客昏倒_191505_UltraLog025.txt,77.12,301,0,122.4,wav,Y,
251216_九張犁車門連動_174436_UltraLog063,door,door,experiments/golden_dataset/audio/251216_九張犁車門連動_174436_UltraLog063.wav,experiments/golden_dataset/ground_truth/251216_九張犁車門連動_174436_UltraLog063.txt,150.36,712,0,595.6,wav,Y,
251216_九張犁車門連動_174813_UltraLog063,door,door,experiments/golden_dataset/audio/251216_九張犁車門連動_174813_UltraLog063.wav,experiments/golden_dataset/ground_truth/251216_九張犁車門連動_174813_UltraLog063.txt,15.84,45,0,62.8,wav,Y,
251216_九張犁車門連動_175200_UltraLog063,door,door,experiments/golden_dataset/audio/251216_九張犁車門連動_175200_UltraLog063.wav,experiments/golden_dataset/ground_truth/251216_九張犁車門連動_175200_UltraLog063.txt,40.21,176,0,159.3,wav,Y,
251216_九張犁車門連動_175812_UltraLog063,door,door,experiments/golden_dataset/audio/251216_九張犁車門連動_175812_UltraLog063.wav,experiments/golden_dataset/ground_truth/251216_九張犁車門連動_175812_UltraLog063.txt,32.26,123,0,127.8,wav,Y,
251222_三軌電力異常_194517_UltraLog064,control,control|track,experiments/golden_dataset/audio/251222_三軌電力異常_194517_UltraLog064.wav,experiments/golden_dataset/ground_truth/251222_三軌電力異常_194517_UltraLog064.txt,167.79,589,0,664.6,wav,Y,
251222_三軌電力異常_200202_UltraLog063,control,control|track,experiments/golden_dataset/audio/251222_三軌電力異常_200202_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_三軌電力異常_200202_UltraLog063.txt,180.35,707,0,714.3,wav,Y,
251222_三軌電力異常_212545_UltraLog063,control,control|track,experiments/golden_dataset/audio/251222_三軌電力異常_212545_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_三軌電力異常_212545_UltraLog063.txt,153.2,613,0,606.8,wav,Y,
251222_三軌電力異常_213242_UltraLog029,control,control|track,experiments/golden_dataset/audio/251222_三軌電力異常_213242_UltraLog029.wav,experiments/golden_dataset/ground_truth/251222_三軌電力異常_213242_UltraLog029.txt,134.96,709,0,214.2,wav,Y,
251222_三軌電力異常_224138_UltraLog003,control,control|track,experiments/golden_dataset/audio/251222_三軌電力異常_224138_UltraLog003.wav,experiments/golden_dataset/ground_truth/251222_三軌電力異常_224138_UltraLog003.txt,156.0,581,0,247.6,wav,Y,
251222_中清車門障礙_060548_UltraLog063,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_060548_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_060548_UltraLog063.txt,49.11,145,0,194.6,wav,Y,
251222_中清車門障礙_061021_UltraLog063,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_061021_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_061021_UltraLog063.txt,40.4,116,0,160.1,wav,Y,
251222_中清車門障礙_061126_UltraLog063,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_061126_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_061126_UltraLog063.txt,45.83,104,0,181.6,wav,Y,
251222_中清車門障礙_061255_UltraLog063,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_061255_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_061255_UltraLog063.txt,73.67,195,0,291.8,wav,Y,
251222_中清車門障礙_061411_UltraLog063,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_061411_UltraLog063.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_061411_UltraLog063.txt,70.64,331,0,279.8,wav,Y,
251222_中清車門障礙_062433_UltraLog011,door,door,experiments/golden_dataset/audio/251222_中清車門障礙_062433_UltraLog011.wav,experiments/golden_dataset/ground_truth/251222_中清車門障礙_062433_UltraLog011.txt,62.16,240,0,98.7,wav,Y,
260603_北屯機廠號誌故障_EC_072302_號誌3股（原系電1股）_值班_0963678367,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_072302_號誌3股（原系電1股）_值班_0963678367.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_072302_號誌3股（原系電1股）_值班_0963678367.txt,32.86,101,0,127.9,mp3,Y,
260603_北屯機廠號誌故障_EC_072305_號誌2股_值班_0963678332,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_072305_號誌2股_值班_0963678332.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_072305_號誌2股_值班_0963678332.txt,35.96,125,0,139.9,mp3,Y,
260603_北屯機廠號誌故障_EC_072404_號誌1股_值班_0963678371,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_072404_號誌1股_值班_0963678371.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_072404_號誌1股_值班_0963678371.txt,39.71,128,0,154.5,mp3,Y,
260603_北屯機廠號誌故障_EC_072604_號誌楊耀賓_0972088963,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_072604_號誌楊耀賓_0972088963.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_072604_號誌楊耀賓_0972088963.txt,80.55,236,0,313.3,mp3,Y,
260603_北屯機廠號誌故障_EC_073900_陳振溢組長,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_073900_陳振溢組長.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_073900_陳振溢組長.txt,45.12,182,0,175.5,mp3,Y,
260603_北屯機廠號誌故障_EC_082204_南段段辦,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_082204_南段段辦.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_082204_南段段辦.txt,68.79,259,0,267.6,mp3,Y,
260603_北屯機廠號誌故障_EC_083301_號誌3股（原系電1股）_值班_0963678367,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_EC_083301_號誌3股（原系電1股）_值班_0963678367.mp3,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_EC_083301_號誌3股（原系電1股）_值班_0963678367.txt,64.69,310,0,251.7,mp3,Y,
260603_北屯機廠號誌故障_備用_072614,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_072614.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_072614.txt,32.13,43,0,127.3,wav,Y,
260603_北屯機廠號誌故障_備用_072701,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_072701.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_072701.txt,102.96,375,0,407.8,wav,Y,
260603_北屯機廠號誌故障_備用_072849,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_072849.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_072849.txt,29.8,85,0,118.1,wav,Y,
260603_北屯機廠號誌故障_備用_072919,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_072919.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_072919.txt,47.6,142,0,188.6,wav,Y,
260603_北屯機廠號誌故障_備用_073027,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_073027.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_073027.txt,22.09,77,0,87.6,wav,Y,
260603_北屯機廠號誌故障_備用_073102,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_073102.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_073102.txt,41.79,130,0,165.6,wav,Y,
260603_北屯機廠號誌故障_備用_073151,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_073151.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_073151.txt,62.43,218,0,247.3,wav,Y,
260603_北屯機廠號誌故障_備用_073601,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_073601.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_073601.txt,106.49,439,0,421.8,wav,Y,
260603_北屯機廠號誌故障_備用_073901,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_073901.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_073901.txt,24.87,59,0,98.6,wav,Y,
260603_北屯機廠號誌故障_備用_074121,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_074121.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_074121.txt,70.19,234,0,278.1,wav,Y,
260603_北屯機廠號誌故障_備用_074233,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_074233.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_074233.txt,48.1,119,0,190.6,wav,Y,
260603_北屯機廠號誌故障_備用_074414,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_074414.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_074414.txt,50.94,143,0,201.8,wav,Y,
260603_北屯機廠號誌故障_備用_074523,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_074523.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_074523.txt,112.99,392,0,447.6,wav,Y,
260603_北屯機廠號誌故障_備用_074800,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_074800.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_074800.txt,51.38,218,0,203.6,wav,Y,
260603_北屯機廠號誌故障_備用_075014,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_075014.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_075014.txt,42.74,129,0,169.3,wav,Y,
260603_北屯機廠號誌故障_備用_075106,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_075106.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_075106.txt,121.33,301,0,480.6,wav,Y,
260603_北屯機廠號誌故障_備用_075337,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_075337.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_075337.txt,14.39,37,0,57.1,wav,Y,
260603_北屯機廠號誌故障_備用_080017,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080017.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080017.txt,47.03,187,0,186.3,wav,Y,
260603_北屯機廠號誌故障_備用_080115,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080115.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080115.txt,21.59,50,0,85.6,wav,Y,
260603_北屯機廠號誌故障_備用_080213,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080213.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080213.txt,16.73,43,0,66.3,wav,Y,
260603_北屯機廠號誌故障_備用_080231,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080231.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080231.txt,73.1,263,0,289.6,wav,Y,
260603_北屯機廠號誌故障_備用_080404,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080404.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080404.txt,17.93,40,0,71.1,wav,Y,
260603_北屯機廠號誌故障_備用_080559,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_080559.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_080559.txt,43.11,126,0,170.8,wav,Y,
260603_北屯機廠號誌故障_備用_081200,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081200.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081200.txt,24.3,66,0,96.3,wav,Y,
260603_北屯機廠號誌故障_備用_081254,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081254.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081254.txt,19.06,63,0,75.6,wav,Y,
260603_北屯機廠號誌故障_備用_081336,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081336.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081336.txt,14.33,28,0,56.8,wav,Y,
260603_北屯機廠號誌故障_備用_081359,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081359.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081359.txt,17.23,40,0,68.3,wav,Y,
260603_北屯機廠號誌故障_備用_081430,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081430.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081430.txt,23.23,61,0,92.1,wav,Y,
260603_北屯機廠號誌故障_備用_081457,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081457.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081457.txt,20.26,54,0,80.3,wav,Y,
260603_北屯機廠號誌故障_備用_081654,emergency,emergency,experiments/golden_dataset/audio/260603_北屯機廠號誌故障_備用_081654.wav,experiments/golden_dataset/ground_truth/260603_北屯機廠號誌故障_備用_081654.txt,19.88,54,0,78.8,wav,Y,
