# event_types.csv — event_type 真相來源 sidecar（build_golden_manifest 讀取）
# 格式: id,event_type,tags
#   id        對應 manifest 的 id（事故批次=完整檔名 stem；舊批次=001/G0001…）
#   event_type 主類(單值,驅動分層切分/history)；留空則依優先級 emergency>control>door>track>daily 自動從 tags 取
#   tags      多標籤,pipe 分隔(如 emergency|control)；僅供 CER 診斷加總；可留空(預設=主類)
# 既有 157 段主類已從檔名正確解析,只在你要加 tags 時才需補列。
# 範例(多情境段)：G0099,,emergency|control   ← 主類自動取 emergency
id,event_type,tags
260603_北屯機廠號誌故障_備用_075337,emergency,emergency
260603_北屯機廠號誌故障_備用_080017,emergency,emergency
260603_北屯機廠號誌故障_備用_080115,emergency,emergency
260603_北屯機廠號誌故障_備用_080213,emergency,emergency
260603_北屯機廠號誌故障_備用_080231,emergency,emergency
260603_北屯機廠號誌故障_備用_080404,emergency,emergency
260603_北屯機廠號誌故障_備用_080559,emergency,emergency
260603_北屯機廠號誌故障_備用_081200,emergency,emergency
260603_北屯機廠號誌故障_備用_081254,emergency,emergency
260603_北屯機廠號誌故障_備用_081336,emergency,emergency
260603_北屯機廠號誌故障_備用_081359,emergency,emergency
260603_北屯機廠號誌故障_備用_081430,emergency,emergency
260603_北屯機廠號誌故障_備用_081457,emergency,emergency
260603_北屯機廠號誌故障_備用_081654,emergency,emergency
260603_北屯機廠號誌故障_備用_081717,emergency,emergency
260603_北屯機廠號誌故障_備用_082451,emergency,emergency
260603_北屯機廠號誌故障_正線_072318,emergency,emergency
260603_北屯機廠號誌故障_正線_072528,emergency,emergency
260603_北屯機廠號誌故障_正線_072630,emergency,emergency
260603_北屯機廠號誌故障_正線_072723,emergency,emergency
260603_北屯機廠號誌故障_正線_073100,emergency,emergency
260603_北屯機廠號誌故障_正線_073254,emergency,emergency
260603_北屯機廠號誌故障_正線_073432,emergency,emergency
260603_北屯機廠號誌故障_正線_073740,emergency,emergency
260603_北屯機廠號誌故障_正線_073834,emergency,emergency
260603_北屯機廠號誌故障_正線_074130,emergency,emergency
260603_北屯機廠號誌故障_正線_074203,emergency,emergency
260603_北屯機廠號誌故障_正線_074411,emergency,emergency
260603_北屯機廠號誌故障_正線_074459,emergency,emergency
260603_北屯機廠號誌故障_正線_074559,emergency,emergency
260603_北屯機廠號誌故障_正線_074822,emergency,emergency
260603_北屯機廠號誌故障_正線_074924,emergency,emergency
260603_北屯機廠號誌故障_正線_080102,emergency,emergency
260603_北屯機廠號誌故障_正線_080818,emergency,emergency
260603_北屯機廠號誌故障_正線_081356,emergency,emergency
260603_北屯機廠號誌故障_正線_081600,emergency,emergency
260603_北屯機廠號誌故障_正線_081848,emergency,emergency
260604_G10a文心森林站號誌異常_正線_185935,control,control
260604_G10a文心森林站號誌異常_正線_185950,control,control
260604_G10a文心森林站號誌異常_正線_190009,control,control
260604_G10a文心森林站號誌異常_正線_190427,control,control
260604_G10a文心森林站號誌異常_正線_190544,control,control
260604_G10a文心森林站號誌異常_正線_190744,control,control
260604_G10a文心森林站號誌異常_正線_190935,control,control
260604_G10a文心森林站號誌異常_正線_191703,control,control
260604_G10a文心森林站號誌異常_正線_191727,control,control
260604_G10a文心森林站號誌異常_正線_191829,control,control
260604_G10a文心森林站號誌異常_正線_192054,control,control
260604_G10a文心森林站號誌異常_正線_192124,control,control
260604_G10a文心森林站號誌異常_正線_192156,control,control
260604_G10a文心森林站號誌異常_正線_192301,control,control
260604_G10a文心森林站號誌異常_正線_192350,control,control
260604_G10a文心森林站號誌異常_正線_192441,control,control
260604_G10a文心森林站號誌異常_正線_192626,control,control
260604_G10a文心森林站號誌異常_正線_192730,control,control
260604_G10a文心森林站號誌異常_正線_192749,control,control
260604_G10a文心森林站號誌異常_正線_192821,control,control
260604_G10a文心森林站號誌異常_正線_192850,control,control
260604_G10a文心森林站號誌異常_正線_193551,control,control
260604_G10a文心森林站號誌異常_正線_193725,control,control
251216_九張犁車門連動_174436_UltraLog063,door,door
251216_九張犁車門連動_175200_UltraLog063,door,door
251216_九張犁車門連動_175812_UltraLog063,door,door
251216_九張犁車門連動_174813_UltraLog063,door,door
251222_中清車門障礙_061255_UltraLog063,door,door
251222_中清車門障礙_061411_UltraLog063,door,door
251222_中清車門障礙_062433_UltraLog011,door,door
251222_中清車門障礙_060548_UltraLog063,door,door
251222_中清車門障礙_061126_UltraLog063,door,door
251222_中清車門障礙_061021_UltraLog063,door,door
251209_水安宮旅客昏倒_185032_UltraLog063,emergency,emergency
251209_水安宮旅客昏倒_190252_UltraLog006,emergency,emergency
251209_水安宮旅客昏倒_191505_UltraLog025,emergency,emergency
251209_水安宮旅客昏倒_185509_UltraLog063,emergency,emergency
251209_水安宮旅客昏倒_185322_UltraLog063,emergency,emergency
251222_三軌電力異常_200202_UltraLog063,control,control|track
251222_三軌電力異常_194517_UltraLog064,control,control|track
251222_三軌電力異常_224138_UltraLog003,control,control|track
251222_三軌電力異常_212545_UltraLog063,control,control|track
251222_三軌電力異常_213242_UltraLog029,control,control|track
